segment_id,category,n_poi,mean_shap_Safety,mean_shap_Aesthetics,mean_shap_Vibrancy,mean_shap_Wealth,mean_shap_Depression,mean_shap_Boring,mean_abs_shap_Safety,mean_abs_shap_Aesthetics,mean_abs_shap_Vibrancy,mean_abs_shap_Wealth,mean_abs_shap_Depression,mean_abs_shap_Boring,dominant_driver,negative_driver,negative_shap_value
S001335,CAT,2,-0.012277270341716683,-0.030345863981459928,0.01132204526547611,-0.018300276752975804,-0.037473999317817204,-0.0526409673723388,0.012277270341716683,0.030345863981459928,0.01132204526547611,0.018300276752975804,0.037473999317817204,0.0526409673723388,Boring,Boring,-0.0526409673723388
S000962,CAT,18,-0.015440071293924532,-0.025443355784389114,-0.022907524019501302,-0.014765431563462538,-0.011441481395952942,-0.005261798416098686,0.01673597293595166,0.025836749558686135,0.023235451561907663,0.021410913556227446,0.02460827240987703,0.025446705332614387,Aesthetics,Aesthetics,-0.025443355784389114
S001825,CAT,2,0.01698494886593874,-0.03119516292396687,-0.05968206791247371,-0.004917925344700589,-0.02751461327538583,-0.01257303270426516,0.01698494886593874,0.03119516292396687,0.05968206791247371,0.004917925344700589,0.02751461327538583,0.01257303270426516,Vibrancy,Vibrancy,-0.05968206791247371
S000652,CAT,8,-0.014902066196547431,-0.022499105200926683,-0.017078853594208434,-0.03643523230725926,-0.025892931661840958,-0.04757074193702324,0.018508952116318658,0.022499105200926683,0.03887030437233626,0.03643523230725926,0.029892059549536533,0.04757074193702324,Boring,Boring,-0.04757074193702324
S000419,CAT,10,-0.03335363846767001,-0.008966681062936367,-0.008097268452976716,-0.028600198026150752,-0.005715932440515496,-0.022345399875868997,0.05279174872104643,0.040236266470073764,0.039151906892303474,0.049373656863949074,0.027247344431341747,0.05909778859819759,Boring,Safety,-0.03335363846767001
S000090,CAT,4,-0.001144630800388867,-0.00419794905718409,0.08440385546759879,-0.010279197801962715,0.0033034073301030364,0.013728803822873017,0.07170294994528648,0.0646959856614743,0.17412489608995294,0.11299135709706962,0.07002589177222832,0.07915160522042405,Vibrancy,Wealth,-0.010279197801962715
S001381,CAT,6,0.013752212467013978,0.05588143382761953,0.026160045127772955,0.024161833444300156,0.031011265211895622,0.012257516719538017,0.03552133497979518,0.06274110919165672,0.04783404867485156,0.04466444173625922,0.05612287518645335,0.04085292160820903,Aesthetics,,0.012257516719538017
S000271,CAT,16,0.03713472266985988,0.04544246424355571,0.06913243051352315,0.021637183303139188,0.0654223436129253,0.0911000991542403,0.03713472266985988,0.05206590892755345,0.06913243051352315,0.03796361904278251,0.0654223436129253,0.0911000991542403,Boring,,0.021637183303139188
S000792,CAT,4,0.0022745448023705744,-0.018207503421337642,-0.03889631956412823,-0.023394453133375626,-0.008511668349654276,-0.02870883710636145,0.003909729804734219,0.028996123162253657,0.03889631956412823,0.023394453133375626,0.009288600727597804,0.02870883710636145,Vibrancy,Vibrancy,-0.03889631956412823
S000362,CAT,40,-0.021441914947144904,-0.020044916964443164,-0.02292977646619087,-0.031056414962479028,-0.040748330062406926,-0.018234473791927035,0.03262573001994823,0.03344743481108591,0.031183051460814987,0.040880255455274975,0.05083494598042868,0.028509032803731592,Depression,Depression,-0.040748330062406926
S000172,CAT,2,-0.034188281644826506,-0.053401175859986855,-0.00739120135898035,-0.055780167726897326,-0.0365285559667861,-0.021584913738819322,0.034188281644826506,0.053401175859986855,0.00739120135898035,0.055780167726897326,0.0365285559667861,0.021584913738819322,Wealth,Wealth,-0.055780167726897326
